Name,Category,Estimated Cost ($/kg),Estimated Supply Volume (kt/yr),Estimated CO2e (kg/kg),Notes,Cost Model,Confidence (0-1),Source,Price_Low ($/kg),Price_Mid ($/kg),Price_High ($/kg),Price_Region,Price_Evidence (short),Audit_Date,Audit_Method,Audited_By
Fusabond® E (PE‑g‑MAH),Additive,4.16,120.0,2.0,Supplier: DuPont (Celanese); Class: Compatibilizer for polar contamination/fillers,"RM=2.2, Conv=0.6, SG&A=10%, Margin=35%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Fusabond® P (PP‑g‑MAH),Additive,4.46,100.0,2.0,Supplier: DuPont (Celanese/Adhesives portfolio); Class: Compatibilizer (polar fillers/fibers; mixed streams),"RM=2.3, Conv=0.7, SG&A=10%, Margin=35%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Hyperform® HPN-715,Additive,8.8,8.0,3.0,Supplier: Milliken; Class: Nucleator (stiffness/warpage control),"RM=4.0, Conv=1.0, SG&A=10%, Margin=60%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"INFUSE™ OBC (e.g., 9100)",Additive,2.79,400.0,2.0,Supplier: Dow; Class: Compatibilizer/impact (HDPE/PP/PE),"RM=1.6, Conv=0.3, SG&A=5%, Margin=40%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
INTUNE™ OBC,Additive,2.79,200.0,2.0,Supplier: Dow; Class: Compatibilizer (PP/PE),"RM=1.6, Conv=0.3, SG&A=5%, Margin=40%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Imerys Talc (e.g., Mistron®/Jetfine®)",Additive,0.4,20.0,3.0,Price based on import/export data.,Fallback specialty additive model,0.75,Web Search,0.2,0.7,1.2,Global (Import Data),Import/export data,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Irgafos® 168,Additive,10.01,60.0,5.0,Supplier: BASF; Class: Secondary antioxidant (processing),"RM=5.5, Conv=1.5, SG&A=10%, Margin=30%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Irganox® 1010,Additive,17.82,50.0,6.0,Supplier: BASF; Class: Primary antioxidant,"RM=10.0, Conv=2.0, SG&A=10%, Margin=35%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Irganox® 1076,Additive,15.73,40.0,6.0,Supplier: BASF; Class: Primary antioxidant (extraction-resistant),"RM=9.0, Conv=2.0, SG&A=10%, Margin=30%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Irganox® MD 1024,Additive,33.0,5.0,7.0,Supplier: BASF; Class: Metal deactivator (Cu/Fe) + AO,"RM=15.0, Conv=5.0, SG&A=10%, Margin=50%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
LOTADER® AX8840,Additive,5.61,50.0,2.5,Supplier: Arkema; Class: Reactive compatibilizer (PET/PA fines),"RM=2.7, Conv=0.7, SG&A=10%, Margin=50%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Luperox® 101 (DCP),Additive,4.0,20.0,3.0,Price based on online supplier listings.,Fallback specialty additive model,0.75,Web Search,3.0,4.0,5.0,Global (Online),Online supplier listings,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Millad® NX™ 8000,Additive,17.6,10.0,6.0,Supplier: Milliken; Class: Clarifier / nucleator,"RM=8.0, Conv=2.0, SG&A=10%, Margin=60%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
NAUGARD® DSTDP,Additive,9.65,30.0,5.0,Supplier: SI Group; Class: Antioxidant synergist (long-term),"RM=5.0, Conv=1.5, SG&A=10%, Margin=35%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
OdorClear™ (representative),Additive,7.7,20.0,3.0,Supplier: Ampacet; Class: Odor control,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Omya CaCO₃ (e.g., Omyacarb®)",Additive,7.7,20.0,3.0,Supplier: Omya; Class: Mineral filler (stiffness/cost),Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
PCR rHDPE (blow/film grade),Polymer,1.2,2900.0,0.8,Base recycled high-density polyethylene,"RM=0.95, Conv=0.1, SG&A=8%, Margin=20%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),0.85,1.0,1.1,US pellets,PN & ChemAnalyst: slight declines Q2‑Q3’25; typical pellet $0.85‑1.10/kg,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
PCR rPET (bottle-grade flake/pellet),Polymer,1.38,2000.0,0.6,Base recycled PET,"RM=0.7, Conv=0.1, SG&A=8%, Margin=18%",0.7,Modeled: RM+Conversion+SG&A+Margin (business-viable),1.2,1.35,1.5,US (clear flake/pellet),ChemAnalyst Q1’25 clear flakes ~$1200/MT; pellets typically +$0.1‑0.3/kg,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
PCR rPET (general purpose),Polymer,1.38,9000.0,0.7,From reference_polymers_augmented.csv,Mapped to PCR rPET base model,0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),1.0,1.1,1.2,US (mixed flake/pellet),ChemAnalyst/Literature triangulation; non‑FG material lower than bottle‑grade,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
PCR rPP (injection grade),Polymer,1.22,7500.0,0.7,From reference_polymers_augmented.csv,"RM=0.85, Conv=0.1, SG&A=8%, Margin=20%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),0.9,1.02,1.1,US/EU pellets,"PlasticPortal rPP IM 808 €/t (w29‑2025), €→$ ~1.09; US spot typically higher",2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Polyamide (Nylon 6,6)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polycarbonate (PC),Polymer,2.5,20.0,3.0,Price based on wholesale supplier pricing.,Fallback specialty additive model,0.8,Web Search,2.0,2.5,3.5,Global (Online),Online supplier listings,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polyether Ether Ketone (PEEK),Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polyethylene (HDPE),Polymer,1.15,6000.0,0.8,Price based on market price indices. Adjusted from $7.70,Mapped to PCR rHDPE base model,0.8,Web Search,0.8,1.15,1.3,Global (Online),Online market indices,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polyethylene (LDPE),Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polyethylene Terephthalate (PET),Polymer,1.02,9000.0,0.8,From reference_polymers_augmented.csv,Mapped to PCR rPET base model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Polymethyl Methacrylate (PMMA, Acrylic)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Polyoxymethylene (POM, Acetal)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polyphenylene Sulfide (PPS),Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polypropylene (PP),Polymer,1.5,20.0,3.0,Price based on wholesale supplier pricing.,Fallback specialty additive model,0.8,Web Search,0.8,1.2,1.6,Global (Online),Online market indices,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polystyrene (PS),Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Polytetrafluoroethylene (PTFE, Teflon)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Polyvinyl Chloride (PVC),Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"SBC (styrene–butadiene block copolymer, general)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"SIS (styrene–isoprene–styrene block copolymer, general)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Syloid® (e.g., 244 FP)",Additive,8.5,20.0,3.0,"Price based on online supplier listings, still some uncertainty.",Fallback specialty additive model,0.7,Web Search,7.5,8.5,9.5,Global (Online),Online supplier listings,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Syloid® 244 FP,Additive,1.76,100.0,1.2,Supplier: Grace; Class: Antiblock (films),"RM=0.9, Conv=0.3, SG&A=5%, Margin=40%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),7.5,8.5,9.5,Global (Online),Online supplier listings,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
TAIC (coagent),Additive,7.7,20.0,3.0,"Supplier: Multiple (e.g., Evonik, Shin‑Nakamura); Class: Coagent for LCB/crosslinking (with peroxide)",Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"TPE (Monprene R6 CP-10170, 60% PCR, 70A)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"TPE (Monprene RX CP-15165, 25% PCR, 65A)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"TPE (Monprene S3 CP-15170 BLK, 35% sustainable, 70A)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"TPV (Sarlink R2 3180B, 25% PIR)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"TPV (Sarlink R4 3190B, 40% PIR)",Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Thermoplastic Elastomer (TPE),Polymer,7.7,20.0,3.0,From reference_polymers_augmented.csv,Fallback specialty additive model,0.45,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Tinuvin® 326,Additive,28.05,15.0,10.0,Supplier: BASF; Class: UV absorber,"RM=12.0, Conv=5.0, SG&A=10%, Margin=50%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Tinuvin® 770 / 783,Additive,29.92,50.0,8.0,Supplier: BASF; Class: UV stabilization,"RM=13.0, Conv=4.0, SG&A=10%, Margin=60%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"Vistamaxx™ (e.g., 6102FL)",Additive,2.41,600.0,1.8,Supplier: ExxonMobil; Class: Impact modifier / soft touch,"RM=1.4, Conv=0.3, SG&A=5%, Margin=35%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
"ZEOflair® (e.g., 100)",Additive,1.91,50.0,1.2,Supplier: Zeochem; Class: Odor/VOC scavenger,"RM=0.9, Conv=0.3, SG&A=10%, Margin=45%",0.65,Modeled: RM+Conversion+SG&A+Margin (business-viable),,,,,,2025-08-22,"Triangulated: public indices, trade reports, and literature; see chat citations",GPT-5 Thinking
Virgin PET (bottle grade),Polymer,1.65,20000.0,3.4,Added for virgin PET based on reference_polymers.csv PET data,From reference_polymers.csv,0.8,reference_polymers.csv,,,,,,,,
PLA (Polylactic Acid),Polymers,2.5,400000.0,1.0,,,0.8,Web Search,2.0,2.5,3.5,Global (Online),Online market data,,,
PHA (Polyhydroxyalkanoates),Polymers,10.0,50000.0,2.2,,,0.75,Web Search,7.0,10.0,20.0,Global (Online),Online supplier listings,,,
PHB (Polyhydroxybutyrate),Polymers,8.0,10000.0,2.3,,,,,,,,,,,,
Cellulose Fiber,Fillers,2.25,20000.0,0.7,,,,,,,,,,,,
Starch (TPS - Thermoplastic Starch),Fillers,1.4,500000.0,0.3,,,,,,,,,,,,
Lignin,Fillers,1.0,1000000.0,0.25,,,0.8,Web Search,0.8,1.0,5.0,Global (Online),Online supplier listings,,,
Hemp Fiber,Fillers,3.0,10000.0,0.6,,,0.7,Web Search,1.0,3.0,7.5,Global (Online),Online supplier listings,,,
Chitin,Fillers,35.0,2000.0,3.0,,,0.65,Web Search,15.0,35.0,80.0,Global (Online),Wide range of prices depending on grade,,,
Silica,Fillers,0.8,3000000.0,0.6,,,,,,,,,,,,
Cellulose Nanofiber,Fillers,6.0,100000.0,0.9,,,,,,,,,,,,
Biochar,Fillers,2.75,5000000.0,0.1,,,0.75,Web Search,1.0,2.75,5.0,Global (Online),Online supplier listings/market data,,,
Kenaf Fiber,Fillers,3.5,8000.0,0.5,,,,,,,,,,,,
Flax Fiber,Fillers,4.0,12000.0,0.5,,,,,,,,,,,,
Nanoclay,Fillers,8.5,500000.0,1.2,,,,,,,,,,,,
Algae-Based Filler,Fillers,5.0,50000.0,0.2,,,,,,,,,,,,
Plasticizer - Glycerol,Additives,1.75,4000000.0,0.85,,,,,,,,,,,,
Plasticizer - Triethyl Citrate (TEC),Additives,4.5,1000.0,1.5,,,,,,,,,,,,
Plasticizer - Polyethylene Glycol (PEG 4000),Additives,5.5,500000.0,2.0,,,,,,,,,,,,
Diethyl Phthalate,Additives,2.0,5000000.0,4.0,,,,,,,,,,,,
Nucleating Agent - Talc,Additives,0.4,6000000.0,0.5,,,,,,,,,,,,
Stabilizer - Calcium Stearate,Additives,3.0,1500000.0,1.5,,,,,,,,,,,,
Stabilizer - Magnesium Hydroxide,Additives,4.5,800000.0,1.8,,,,,,,,,,,,
Compatibilizer - Maleic Anhydride (MAH),Additives,8.5,300000.0,3.5,,,,,,,,,,,,
Impact Modifier - Epoxidized Soybean Oil (ESO),Additives,3.75,5000000.0,1.0,,,,,,,,,,,,
Stearic Acid,Additives,2.5,2000000.0,1.2,,,,,,,,,,,,
Silane,Additives,15.0,100000.0,6.0,,,,,,,,,,,,
Esterified Fatty Acids,Additives,3.2,1000000.0,1.0,,,,,,,,,,,,
Bio-Based Wax,Additives,5.0,200000.0,0.6,,,,,,,,,,,,
Citric Acid Derivative,Additives,4.0,900000.0,1.3,,,,,,,,,,,,
Erucamide,Additive,5.0,60.0,3.5,Slip/anti-block fatty amide used in PE/PP/PET films; pricing varies by grade & MOQ,Modeled: RM (erucic acid) + Conversion (amidation) + SG&A=10% + Margin=40%,0.6,Web Search,2.0,5.0,10.0,Asia/China (Online B2B),Alibaba & Made-in-China listings show ~$2–10/kg depending on MOQ/grade,2025-08-21,Triangulated: public listings + market reports; see chat citations,GPT-5 Thinking
Mica,Additive,0.9,20.0,0.6,Platelet mineral filler for barrier and stiffness.,Fallback specialty additive model,0.45,Modeled,,,,,,,,
Zeolite,Additive,3.5,20.0,1.8,Microporous aluminosilicate for odor/VOC scavenging.,Fallback specialty additive model,0.45,Modeled,,,,,,,,
EVA,Polymer,2.2,20.0,2.2,Ethylene-vinyl acetate copolymer modifier.,Fallback specialty additive model,0.45,Modeled,,,,,,,,
PBAT (Polybutylene Adipate-co-Terephthalate),Polymer,3.00,2.5,300
